1,3/1/2022,146.60,146.00,146.00,146.00,0.06K,0.21%
2,4/1/2022,146.35,146.00,146.50,146.00,0.01K,-0.17%
3,5/1/2022,145.05,143.90,143.90,142.28,,-0.89%
4,6/1/2022,143.40,141.65,141.78,139.48,,-1.14%
5,7/1/2022,143.35,141.40,143.90,141.25,,-0.03%
6,10/1/2022,143.40,141.65,142.65,140.05,,0.03%
7,11/1/2022,145.70,142.20,146.95,140.80,1.02K,1.60%
8,12/1/2022,144.90,146.00,146.00,143.75,0.72K,-0.55%
9,13/1/2022,152.35,145.05,154.15,144.20,2.01K,5.14%
10,14/1/2022,149.75,151.80,157.30,148.50,1.43K,-1.71%
11,18/1/2022,150.20,150.00,152.75,147.00,0.77K,0.30%
12,19/1/2022,155.40,150.00,156.20,150.00,1.03K,3.46%
13,20/1/2022,157.00,154.20,157.85,152.90,0.69K,1.03%
14,21/1/2022,157.05,156.75,157.25,154.10,0.62K,0.03%
15,24/1/2022,155.35,157.15,158.55,153.60,0.75K,-1.08%
16,25/1/2022,155.85,155.20,158.20,154.05,0.55K,0.32%
17,26/1/2022,159.60,155.25,162.00,155.25,1.06K,2.41%
18,27/1/2022,161.55,161.30,164.45,160.25,0.75K,1.22%
19,28/1/2022,151.55,160.55,160.70,151.55,1.10K,-6.19%
20,31/1/2022,147.65,149.20,150.45,144.10,1.91K,-2.57%
21,1/2/2022,145.70,147.60,147.85,142.90,1.27K,-1.32%
22,2/2/2022,145.80,146.00,148.75,145.30,0.97K,0.07%
23,3/2/2022,145.10,146.00,146.65,144.55,0.90K,-0.48%
24,4/2/2022,138.90,145.00,145.20,138.00,1.92K,-4.27%
25,7/2/2022,137.50,138.20,142.40,136.45,1.46K,-1.01%
26,8/2/2022,142.10,138.30,143.05,138.10,0.91K,3.35%
27,9/2/2022,142.25,142.10,143.70,138.95,0.77K,0.11%
28,10/2/2022,139.70,143.65,143.70,139.10,1.11K,-1.79%
29,11/2/2022,136.55,139.00,143.50,134.75,1.01K,-2.25%
30,14/2/2022,133.70,136.70,138.05,133.15,1.25K,-2.09%
31,15/2/2022,133.60,134.15,136.75,133.00,0.92K,-0.07%
32,16/2/2022,132.55,134.95,136.40,132.50,1.02K,-0.79%
33,17/2/2022,132.90,133.35,135.60,132.35,0.60K,0.26%
34,18/2/2022,134.80,134.00,135.90,133.30,0.78K,1.43%
35,22/2/2022,135.90,135.80,137.90,134.90,1.16K,0.82%
36,23/2/2022,136.45,136.95,136.95,134.75,0.52K,0.40%
37,24/2/2022,136.45,136.70,141.65,135.75,0.67K,0.00%
38,25/2/2022,136.10,136.75,137.50,135.30,0.48K,-0.26%
39,28/2/2022,145.95,136.30,146.10,136.10,0.15K,7.24%
40,1/3/2022,150.20,151.00,151.00,148.90,0.01K,2.91%
41,2/3/2022,151.25,142.58,149.03,141.80,,0.70%
42,3/3/2022,149.05,151.00,151.00,151.00,0.00K,-1.45%
43,4/3/2022,147.90,148.33,149.03,143.88,,-0.77%
44,7/3/2022,137.90,146.75,146.75,138.05,,-6.76%
45,8/3/2022,141.15,136.58,141.90,135.73,,2.36%
46,9/3/2022,137.95,140.53,140.60,137.50,,-2.27%
47,10/3/2022,138.30,137.88,140.70,137.63,,0.25%
48,11/3/2022,138.70,138.00,140.38,137.60,,0.29%
49,14/3/2022,141.50,139.30,143.40,139.25,0.36K,2.02%
50,15/3/2022,142.65,142.80,142.90,138.05,0.71K,0.81%
51,16/3/2022,143.85,142.20,144.15,141.20,0.42K,0.84%
52,17/3/2022,144.60,143.65,145.50,141.30,0.48K,0.52%
53,18/3/2022,147.65,144.60,147.90,144.05,0.58K,2.11%
54,21/3/2022,147.80,147.65,148.60,146.00,0.52K,0.10%
55,22/3/2022,144.70,148.40,148.60,144.30,0.77K,-2.10%
56,23/3/2022,146.35,145.55,148.00,145.35,0.35K,1.14%
57,24/3/2022,149.20,145.70,149.70,145.25,0.82K,1.95%
58,25/3/2022,150.90,149.00,153.45,148.00,1.17K,1.14%
59,28/3/2022,147.30,148.75,149.50,146.95,0.73K,-2.39%
60,29/3/2022,145.80,146.85,147.65,145.70,0.64K,-1.02%
61,30/3/2022,148.15,145.80,149.00,145.60,0.84K,1.61%
62,31/3/2022,151.95,148.45,152.50,148.40,1.04K,2.56%
63,1/4/2022,157.55,152.50,159.10,151.40,1.94K,3.69%
64,4/4/2022,159.20,157.15,163.95,155.50,1.60K,1.05%
65,5/4/2022,160.25,159.00,162.10,158.95,0.98K,0.66%
66,6/4/2022,159.55,159.95,160.75,156.45,1.08K,-0.44%
67,7/4/2022,163.05,159.50,164.50,159.05,1.14K,2.19%
68,8/4/2022,167.55,164.00,172.30,163.50,2.05K,2.76%
69,11/4/2022,173.95,169.40,174.45,169.40,1.05K,3.82%
70,12/4/2022,172.10,173.50,174.80,170.25,0.84K,-1.06%
71,13/4/2022,182.10,171.55,182.10,171.45,0.99K,5.81%
72,14/4/2022,181.05,183.25,186.60,178.35,0.98K,-0.58%
73,18/4/2022,191.00,182.15,191.05,179.55,0.95K,5.50%
74,19/4/2022,171.90,194.00,194.45,171.00,2.09K,-10.00%
75,20/4/2022,169.35,170.50,174.50,166.50,1.14K,-1.48%
76,21/4/2022,173.00,169.30,173.40,168.00,0.54K,2.16%
77,22/4/2022,179.65,169.60,179.70,169.55,0.68K,3.84%
78,25/4/2022,173.70,175.50,175.50,170.35,0.47K,-3.31%
79,26/4/2022,171.65,171.52,174.30,168.80,,-1.18%
80,27/4/2022,172.20,171.00,174.65,169.00,0.90K,0.32%
81,28/4/2022,172.90,172.00,175.90,172.00,0.19K,0.41%
82,29/4/2022,180.40,173.20,181.55,172.50,0.61K,4.34%
83,3/5/2022,181.15,176.80,181.50,175.70,0.45K,0.42%
84,4/5/2022,175.55,179.92,179.95,175.38,,-3.09%
85,5/5/2022,173.30,174.90,177.35,170.45,0.55K,-1.28%
86,6/5/2022,176.15,173.60,179.65,173.60,0.54K,1.64%
87,9/5/2022,171.75,176.00,176.30,171.30,0.56K,-2.50%
88,10/5/2022,172.60,171.75,174.45,170.70,0.37K,0.49%
89,11/5/2022,168.50,172.20,173.45,166.30,0.93K,-2.38%
90,12/5/2022,164.45,169.75,169.75,160.60,1.67K,-2.40%
91,13/5/2022,167.05,164.25,174.45,162.05,0.80K,1.58%
92,16/5/2022,175.55,171.05,177.05,170.05,0.85K,5.09%
93,17/5/2022,175.30,175.20,178.80,172.70,0.48K,-0.14%
94,18/5/2022,168.80,175.75,176.35,167.10,0.42K,-3.71%
95,19/5/2022,167.90,168.80,171.85,167.35,0.33K,-0.53%
96,20/5/2022,172.45,168.00,173.45,168.00,0.32K,2.71%
97,23/5/2022,176.60,173.40,178.70,173.40,0.49K,2.41%
98,24/5/2022,178.35,178.00,178.50,175.80,0.40K,0.99%
99,25/5/2022,174.40,176.40,178.50,173.10,0.27K,-2.21%
100,26/5/2022,183.40,174.65,184.40,174.50,1.09K,5.16%
101,27/5/2022,183.05,183.80,186.45,180.30,0.55K,-0.19%
102,31/5/2022,177.35,181.80,183.45,176.65,0.81K,-3.11%
103,1/6/2022,180.35,177.30,182.70,177.00,0.92K,1.69%
104,2/6/2022,180.25,181.00,181.30,178.55,0.46K,-0.06%
105,3/6/2022,180.70,180.55,183.30,179.85,0.70K,0.25%
106,6/6/2022,181.25,180.60,182.35,178.85,0.46K,0.30%
107,7/6/2022,183.65,180.80,184.60,179.80,0.59K,1.32%
108,8/6/2022,191.35,183.40,193.50,182.15,1.24K,4.19%
109,9/6/2022,184.40,188.70,193.30,184.15,1.06K,-3.63%
110,10/6/2022,185.05,185.40,187.40,184.40,0.43K,0.35%
111,13/6/2022,179.80,184.40,184.85,179.35,1.35K,-2.84%
112,14/6/2022,178.15,179.10,180.55,178.00,0.57K,-0.92%
113,15/6/2022,177.70,178.50,182.00,177.10,1.11K,-0.25%
114,16/6/2022,175.50,176.95,177.50,174.85,1.07K,-1.24%
115,17/6/2022,172.75,175.50,176.55,172.10,1.43K,-1.57%
116,21/6/2022,170.80,172.90,172.90,170.45,0.86K,-1.13%
117,22/6/2022,169.40,170.50,173.40,168.85,1.13K,-0.82%
118,23/6/2022,166.20,170.05,170.40,166.05,0.84K,-1.89%
119,24/6/2022,164.15,166.75,167.45,163.60,0.31K,-1.23%
120,27/6/2022,168.15,165.95,169.30,165.05,0.30K,2.44%
121,28/6/2022,177.80,172.00,178.15,170.95,0.29K,5.74%
122,29/6/2022,171.50,172.45,172.45,169.50,0.45K,-3.54%
123,30/6/2022,173.05,170.60,174.85,168.75,0.51K,0.90%
124,1/7/2022,177.10,173.75,174.00,167.25,0.56K,2.34%
125,5/7/2022,162.95,167.00,167.75,162.70,0.60K,-7.99%
126,6/7/2022,162.70,163.55,165.75,162.50,0.39K,-0.15%
127,7/7/2022,162.30,163.00,163.40,161.50,0.40K,-0.25%
128,8/7/2022,174.90,162.30,165.30,161.65,0.37K,7.76%
129,11/7/2022,175.20,162.78,167.83,161.02,,0.17%
130,12/7/2022,156.40,162.25,163.50,155.80,1.65K,-10.73%
131,13/7/2022,152.30,155.90,157.40,152.00,1.44K,-2.62%
132,14/7/2022,151.80,151.90,154.35,151.30,0.95K,-0.33%
